name,result.year,result.code,result.category
195459,2019,VU,Vulnerable
195459,2011,VU,Vulnerable
9249,2018,LC,Least Concern
9249,2011,DD,Data Deficient
9249,2008,DD,Data Deficient
9249,1996,LR/cd,Lower Risk/conservation dependent
9249,1994,K,Insufficiently Known
20738,2019,LC,Least Concern
20738,2012,LC,Least Concern
20738,2008,LC,Least Concern
20738,1996,DD,Data Deficient
20738,1994,K,Insufficiently Known
20733,2018,LC,Least Concern
20733,2012,DD,Data Deficient
20733,2008,DD,Data Deficient
20733,1996,LR/cd,Lower Risk/conservation dependent
13244,2008,DD,Data Deficient
13244,1996,DD,Data Deficient
13244,1994,K,Insufficiently Known
8005,2008,CR,Critically Endangered
8005,1996,CR,Critically Endangered
8005,1994,E,Endangered
8005,1990,E,Endangered
8005,1988,E,Endangered
8005,1986,E,Endangered
8005,1982,E,Endangered
16285718,2019,LC,Least Concern
16285718,2012,LC,Least Concern
46967807,2013,CR,Critically Endangered
84156809,2015,CR,Critically Endangered
2811,2020,VU,Vulnerable
2811,1996,DD,Data Deficient
2811,1994,R,Rare
2811,1990,R,Rare
2811,1988,R,Rare
2811,1986,R,Rare
2811,1983,R,Rare
163055,2018,LC,Least Concern
22138,1996,LR/cd,Lower Risk/conservation dependent
22138,1994,K,Insufficiently Known
22138,1990,K,Insufficiently Known
22138,1988,K,Insufficiently Known
22138,1986,K,Insufficiently Known
22138,1983,K,Insufficiently Known
133216,2014,NT,Near Threatened
133216,2008,NT,Near Threatened
133291,2014,VU,Vulnerable
133291,2008,VU,Vulnerable
133197,2014,LC,Least Concern
133197,2008,LC,Least Concern
133595,2008,LC,Least Concern
180421,2013,LC,Least Concern
132832,2008,EN,Endangered
16564,2019,LC,Least Concern
16564,2008,LC,Least Concern
16564,1996,LR/lc,Lower Risk/least concern
16564,1994,K,Insufficiently Known
11534,2008,VU,Vulnerable
11534,1996,EN,Endangered
11534,1994,E,Endangered
11534,1990,E,Endangered
11534,1988,E,Endangered
11534,1986,E,Endangered
11534,1982,E,Endangered
39415,2006,NT,Near Threatened
39415,2000,DD,Data Deficient
