.id,sciname,year,code,category
sula dactylatra,sula dactylatra,2018,LC,Least Concern
sula dactylatra,sula dactylatra,2016,LC,Least Concern
sula dactylatra,sula dactylatra,2012,LC,Least Concern
sula dactylatra,sula dactylatra,2010,LC,Least Concern
sula dactylatra,sula dactylatra,2008,NR,Not Recognized
sula dactylatra,sula dactylatra,2004,NR,Not Recognized
sula dactylatra,sula dactylatra,2000,NR,Not Recognized
sula dactylatra,sula dactylatra,1994,NR,Not Recognized
sula dactylatra,sula dactylatra,1988,NR,Not Recognized
sula leucogaster,sula leucogaster,2018,LC,Least Concern
sula leucogaster,sula leucogaster,2016,LC,Least Concern
sula leucogaster,sula leucogaster,2012,LC,Least Concern
sula leucogaster,sula leucogaster,2009,LC,Least Concern
sula leucogaster,sula leucogaster,2008,LC,Least Concern
sula leucogaster,sula leucogaster,2004,LC,Least Concern
sula leucogaster,sula leucogaster,2000,LR/lc,Lower Risk/least concern
sula leucogaster,sula leucogaster,1994,LR/lc,Lower Risk/least concern
sula leucogaster,sula leucogaster,1988,LR/lc,Lower Risk/least concern
sula sula,sula sula,2018,LC,Least Concern
sula sula,sula sula,2016,LC,Least Concern
sula sula,sula sula,2012,LC,Least Concern
sula sula,sula sula,2009,LC,Least Concern
sula sula,sula sula,2008,LC,Least Concern
sula sula,sula sula,2004,LC,Least Concern
sula sula,sula sula,2000,LR/lc,Lower Risk/least concern
sula sula,sula sula,1994,LR/lc,Lower Risk/least concern
sula sula,sula sula,1988,LR/lc,Lower Risk/least concern
ardenna bulleri,ardenna bulleri,2018,VU,Vulnerable
ardenna bulleri,ardenna bulleri,2016,VU,Vulnerable
ardenna bulleri,ardenna bulleri,2012,VU,Vulnerable
ardenna bulleri,ardenna bulleri,2010,VU,Vulnerable
ardenna bulleri,ardenna bulleri,2008,VU,Vulnerable
ardenna bulleri,ardenna bulleri,2006,VU,Vulnerable
ardenna bulleri,ardenna bulleri,2004,VU,Vulnerable
ardenna bulleri,ardenna bulleri,2000,VU,Vulnerable
ardenna bulleri,ardenna bulleri,1994,LR/nt,Lower Risk/near threatened
ardenna bulleri,ardenna bulleri,1988,LR/lc,Lower Risk/least concern
pterodroma brevipes,pterodroma brevipes,2018,VU,Vulnerable
pterodroma brevipes,pterodroma brevipes,2016,VU,Vulnerable
pterodroma brevipes,pterodroma brevipes,2012,VU,Vulnerable
pterodroma brevipes,pterodroma brevipes,2011,VU,Vulnerable
pterodroma brevipes,pterodroma brevipes,2010,NT,Near Threatened
pterodroma brevipes,pterodroma brevipes,2008,NT,Near Threatened
pterodroma brevipes,pterodroma brevipes,2006,NT,Near Threatened
pterodroma brevipes,pterodroma brevipes,2004,LC,Least Concern
pterodroma brevipes,pterodroma brevipes,2000,LR/lc,Lower Risk/least concern
pterodroma brevipes,pterodroma brevipes,1994,LR/lc,Lower Risk/least concern
pterodroma brevipes,pterodroma brevipes,1988,LR/lc,Lower Risk/least concern
phaethon rubricauda,phaethon rubricauda,2018,LC,Least Concern
phaethon rubricauda,phaethon rubricauda,2016,LC,Least Concern
phaethon rubricauda,phaethon rubricauda,2013,LC,Least Concern
phaethon rubricauda,phaethon rubricauda,2012,LC,Least Concern
phaethon rubricauda,phaethon rubricauda,2009,LC,Least Concern
phaethon rubricauda,phaethon rubricauda,2008,LC,Least Concern
phaethon rubricauda,phaethon rubricauda,2004,LC,Least Concern
phaethon rubricauda,phaethon rubricauda,2000,LR/lc,Lower Risk/least concern
phaethon rubricauda,phaethon rubricauda,1994,LR/lc,Lower Risk/least concern
phaethon rubricauda,phaethon rubricauda,1988,LR/lc,Lower Risk/least concern
anas superciliosa,anas superciliosa,2016,LC,Least Concern
anas superciliosa,anas superciliosa,2012,LC,Least Concern
anas superciliosa,anas superciliosa,2009,LC,Least Concern
anas superciliosa,anas superciliosa,2008,LC,Least Concern
anas superciliosa,anas superciliosa,2004,LC,Least Concern
anas superciliosa,anas superciliosa,2000,LR/lc,Lower Risk/least concern
anas superciliosa,anas superciliosa,1994,LR/lc,Lower Risk/least concern
anas superciliosa,anas superciliosa,1988,LR/lc,Lower Risk/least concern
anous stolidus,anous stolidus,2018,LC,Least Concern
anous stolidus,anous stolidus,2016,LC,Least Concern
anous stolidus,anous stolidus,2012,LC,Least Concern
anous stolidus,anous stolidus,2009,LC,Least Concern
anous stolidus,anous stolidus,2008,LC,Least Concern
anous stolidus,anous stolidus,2004,LC,Least Concern
anous stolidus,anous stolidus,2000,LR/lc,Lower Risk/least concern
anous stolidus,anous stolidus,1994,LR/lc,Lower Risk/least concern
anous stolidus,anous stolidus,1988,LR/lc,Lower Risk/least concern
anous minutus,anous minutus,2018,LC,Least Concern
anous minutus,anous minutus,2016,LC,Least Concern
anous minutus,anous minutus,2012,LC,Least Concern
anous minutus,anous minutus,2009,LC,Least Concern
anous minutus,anous minutus,2008,LC,Least Concern
anous minutus,anous minutus,2004,LC,Least Concern
anous minutus,anous minutus,2000,LR/lc,Lower Risk/least concern
anous minutus,anous minutus,1994,LR/lc,Lower Risk/least concern
anous minutus,anous minutus,1988,LR/lc,Lower Risk/least concern
arenaria interpres,arenaria interpres,2019,LC,Least Concern
arenaria interpres,arenaria interpres,2016,LC,Least Concern
arenaria interpres,arenaria interpres,2012,LC,Least Concern
arenaria interpres,arenaria interpres,2009,LC,Least Concern
arenaria interpres,arenaria interpres,2008,LC,Least Concern
arenaria interpres,arenaria interpres,2004,LC,Least Concern
arenaria interpres,arenaria interpres,2000,LR/lc,Lower Risk/least concern
arenaria interpres,arenaria interpres,1994,LR/lc,Lower Risk/least concern
arenaria interpres,arenaria interpres,1988,LR/lc,Lower Risk/least concern
butorides striata,butorides striata,2016,LC,Least Concern
butorides striata,butorides striata,2014,LC,Least Concern
fregata ariel,fregata ariel,2018,LC,Least Concern
fregata ariel,fregata ariel,2017,LC,Least Concern
fregata ariel,fregata ariel,2016,LC,Least Concern
fregata ariel,fregata ariel,2012,LC,Least Concern
fregata ariel,fregata ariel,2009,LC,Least Concern
fregata ariel,fregata ariel,2008,LC,Least Concern
fregata ariel,fregata ariel,2004,LC,Least Concern
fregata ariel,fregata ariel,2000,LR/lc,Lower Risk/least concern
fregata ariel,fregata ariel,1994,LR/lc,Lower Risk/least concern
fregata ariel,fregata ariel,1988,LR/lc,Lower Risk/least concern
phaethon lepturus,phaethon lepturus,2018,LC,Least Concern
phaethon lepturus,phaethon lepturus,2017,LC,Least Concern
phaethon lepturus,phaethon lepturus,2016,LC,Least Concern
phaethon lepturus,phaethon lepturus,2012,LC,Least Concern
phaethon lepturus,phaethon lepturus,2009,LC,Least Concern
phaethon lepturus,phaethon lepturus,2008,LC,Least Concern
phaethon lepturus,phaethon lepturus,2004,LC,Least Concern
phaethon lepturus,phaethon lepturus,2000,LR/lc,Lower Risk/least concern
phaethon lepturus,phaethon lepturus,1994,LR/lc,Lower Risk/least concern
phaethon lepturus,phaethon lepturus,1988,LR/lc,Lower Risk/least concern
ardenna pacifica,ardenna pacifica,2018,LC,Least Concern
ardenna pacifica,ardenna pacifica,2016,LC,Least Concern
ardenna pacifica,ardenna pacifica,2012,LC,Least Concern
ardenna pacifica,ardenna pacifica,2009,LC,Least Concern
ardenna pacifica,ardenna pacifica,2008,LC,Least Concern
ardenna pacifica,ardenna pacifica,2004,LC,Least Concern
ardenna pacifica,ardenna pacifica,2000,LR/lc,Lower Risk/least concern
ardenna pacifica,ardenna pacifica,1994,LR/lc,Lower Risk/least concern
ardenna pacifica,ardenna pacifica,1988,LR/lc,Lower Risk/least concern
ardenna tenuirostris,ardenna tenuirostris,2018,LC,Least Concern
ardenna tenuirostris,ardenna tenuirostris,2017,LC,Least Concern
ardenna tenuirostris,ardenna tenuirostris,2016,LC,Least Concern
ardenna tenuirostris,ardenna tenuirostris,2012,LC,Least Concern
ardenna tenuirostris,ardenna tenuirostris,2009,LC,Least Concern
ardenna tenuirostris,ardenna tenuirostris,2008,LC,Least Concern
ardenna tenuirostris,ardenna tenuirostris,2004,LC,Least Concern
ardenna tenuirostris,ardenna tenuirostris,2000,LR/lc,Lower Risk/least concern
ardenna tenuirostris,ardenna tenuirostris,1994,LR/lc,Lower Risk/least concern
ardenna tenuirostris,ardenna tenuirostris,1988,LR/lc,Lower Risk/least concern
fregata minor,fregata minor,2018,LC,Least Concern
fregata minor,fregata minor,2016,LC,Least Concern
fregata minor,fregata minor,2012,LC,Least Concern
fregata minor,fregata minor,2009,LC,Least Concern
fregata minor,fregata minor,2008,LC,Least Concern
fregata minor,fregata minor,2004,LC,Least Concern
fregata minor,fregata minor,2000,LR/lc,Lower Risk/least concern
fregata minor,fregata minor,1994,LR/lc,Lower Risk/least concern
fregata minor,fregata minor,1988,LR/lc,Lower Risk/least concern
onychoprion fuscatus,onychoprion fuscatus,2018,LC,Least Concern
onychoprion fuscatus,onychoprion fuscatus,2016,LC,Least Concern
onychoprion fuscatus,onychoprion fuscatus,2012,LC,Least Concern
onychoprion fuscatus,onychoprion fuscatus,2009,LC,Least Concern
onychoprion fuscatus,onychoprion fuscatus,2008,LC,Least Concern
onychoprion fuscatus,onychoprion fuscatus,2004,LC,Least Concern
onychoprion fuscatus,onychoprion fuscatus,2000,LR/lc,Lower Risk/least concern
onychoprion fuscatus,onychoprion fuscatus,1994,LR/lc,Lower Risk/least concern
onychoprion fuscatus,onychoprion fuscatus,1988,LR/lc,Lower Risk/least concern
