"","sciname","trend"
"87","carcharhinus albimarginatus","Decreasing"
"88","carcharhinus limbatus","Unknown"
"89","carcharhinus falciformis","Decreasing"
"90","carcharhinus galapagensis","Unknown"
"91","mobula birostris","Decreasing"
"92","rhincodon typus","Decreasing"
"93","carcharhinus longimanus","Decreasing"
"94","encrasicholina punctifer","Unknown"
"95","praealticus caesius","Stable"
"96","entomacrodus sealei","Stable"
"97","blenniella gibbifrons","Stable"
"98","blenniella chrysospilos","Stable"
"99","enneapterygius triserialis","Stable"
"100","enneapterygius nigricauda","Unknown"
"101","cirripectes fuscoguttatus","Stable"
"102","atrosalarias fuscus","Stable"
"103","entomacrodus decussatus","Stable"
"104","aspidontus taeniatus","Stable"
"105","atrosalarias holomelas","Unknown"
"106","aspidontus dussumieri","Stable"
"107","cirripectes variolosus","Stable"
"108","enneapterygius fuscoventer","Unknown"
"109","blenniella caudolineata","Stable"
"110","enchelyurus ater","Stable"
"111","entomacrodus caudofasciatus","Stable"
"112","norfolkia thomasi","Unknown"
"113","enneapterygius rhabdotus","Unknown"
"114","enneapterygius tutuilae","Unknown"
"115","helcogramma chica","Unknown"
"116","cirripectes jenningsi","Stable"
"117","blenniella paula","Stable"
"118","entomacrodus thalassinus","Stable"
"119","alticus arnoldorum","Stable"
"120","stanulus seychellensis","Stable"
"121","istiblennius edentulus","Stable"
"122","exallias brevis","Stable"
"123","enneapterygius pyramis","Unknown"
"124","cirripectes quagga","Stable"
"125","istiblennius lineatus","Stable"
"126","plagiotremus rhinorhynchos","Stable"
"127","plagiotremus tapeinosoma","Stable"
"128","entomacrodus striatus","Stable"
"129","petroscirtes xestus","Stable"
"130","conus planorbis","Unknown"
"131","conus miles","Unknown"
"132","conus coronatus","Unknown"
"133","conus pulicarius",NA
"134","conus lividus","Unknown"
"135","conus pertusus","Unknown"
"136","conus ebraeus","Unknown"
"137","conus auricomus","Unknown"
"138","conus acutangulus","Unknown"
"139","conus bullatus","Unknown"
"140","conus sanguinolentus","Unknown"
"141","conus muriculatus","Unknown"
"142","conus bandanus","Unknown"
"143","conus circumcisus","Unknown"
"144","conus coffeae","Unknown"
"145","conus mitratus","Unknown"
"146","conus varius","Unknown"
"147","conus legatus","Unknown"
"148","conus tulipa","Unknown"
"149","conus vexillum","Unknown"
"150","conus quercinus","Unknown"
"151","conus armadillo","Unknown"
"152","conus obscurus","Unknown"
"153","conus eburneus","Unknown"
"154","conus aureus","Unknown"
"155","conus rattus","Unknown"
"156","conus retifer","Decreasing"
"157","conus imperialis","Unknown"
"158","conus striatus","Stable"
"159","conus canonicus","Unknown"
"160","conus textile",NA
"161","conus catus","Unknown"
"162","conus nussatella","Unknown"
"163","conus generalis","Unknown"
"164","conus glans","Unknown"
"165","conus moreleti","Unknown"
"166","conus flavidus","Unknown"
"167","conus tessulatus","Stable"
"168","conus tenuistriatus","Unknown"
"169","conus episcopatus","Unknown"
"170","conus frigidus","Unknown"
"171","conus sponsalis","Stable"
"172","conus virgo","Unknown"
"173","conus cylindraceus","Unknown"
"174","conus emaciatus","Unknown"
"175","conus distans","Unknown"
"176","conus litteratus","Unknown"
"177","conus terebra","Unknown"
"178","conus arenatus","Unknown"
"179","conus aulicus","Unknown"
"180","conus geographus","Unknown"
"181","conus ferrugineus","Unknown"
"182","conus litoglyphus","Unknown"
"183","conus magnificus","Unknown"
"184","conus adamsonii","Unknown"
"185","conus chaldaeus","Unknown"
"186","conus leopardus","Unknown"
"187","goniopora somaliensis","Unknown"
"188","leptastrea transversa","Decreasing"
"189","montipora verrilli","Decreasing"
"190","leptoseris mycetoseroides","Unknown"
"191","leptoseris scabra","Unknown"
"192","montipora informis","Decreasing"
"193","pavona cactus","Unknown"
"194","acropora retusa","Decreasing"
"195","acropora tenuis","Decreasing"
"196","favia pallida","Decreasing"
"197","acropora clathrata","Decreasing"
"198","turbinaria frondens","Unknown"
"199","pavona frondifera","Unknown"
"200","acropora cytherea","Decreasing"
"201","acropora rambleri","Decreasing"
"202","podabacia crustacea","Unknown"
"203","fungia moluccensis","Unknown"
"204","astreopora myriophthalma","Decreasing"
"205","montipora australiensis","Decreasing"
"206","leptoria phrygia","Decreasing"
"207","alveopora allingi","Unknown"
"208","acropora inermis","Decreasing"
"209","barabattoia laddi","Decreasing"
"210","psammocora nierstraszi","Stable"
"211","acropora nana","Decreasing"
"212","acropora samoensis","Decreasing"
"213","pachyseris speciosa","Unknown"
"214","favia stelligera","Decreasing"
"215","stylophora pistillata","Unknown"
"216","acropora speciosa","Decreasing"
"217","plerogyra sinuosa","Unknown"
"218","goniastrea australensis","Decreasing"
"219","acropora glauca","Decreasing"
"220","acropora abrotanoides","Decreasing"
"221","favia rotumana","Decreasing"
"222","porites vaughani","Unknown"
"223","pavona varians","Unknown"
"224","psammocora haimeana","Unknown"
"225","echinophyllia aspera","Unknown"
"226","montipora angulata","Decreasing"
"227","acropora austera","Decreasing"
"228","pavona maldivensis","Unknown"
"229","montipora venosa","Decreasing"
"230","acropora humilis","Decreasing"
"231","turbinaria reniformis","Unknown"
"232","echinopora lamellosa","Decreasing"
"233","favia favus","Decreasing"
"234","montipora floweri","Decreasing"
"235","acropora tortuosa","Decreasing"
"236","psammocora superficialis","Unknown"
"237","acropora lutkeni","Decreasing"
"238","montipora spumosa","Decreasing"
"239","acropora striata","Decreasing"
"240","acropora latistella","Decreasing"
"241","merulina ampliata","Unknown"
"242","montipora lobulata","Decreasing"
"243","stylocoeniella armata","Unknown"
"244","madracis kirbyi","Unknown"
"245","favites complanata","Decreasing"
"246","montipora turgescens","Decreasing"
"247","acropora nasuta","Decreasing"
"248","favites russelli","Decreasing"
"249","acropora elseyi","Decreasing"
"250","acropora gemmifera","Decreasing"
"251","montipora danae","Decreasing"
"252","fungia scutaria","Unknown"
"253","porites lutea","Unknown"
"254","montipora effusa","Decreasing"
"255","platygyra pini","Decreasing"
"256","fungia tenuis","Unknown"
"257","montipora aequituberculata","Decreasing"
"258","astreopora randalli","Decreasing"
"259","mycedium elephantotus","Unknown"
"260","acropora valida","Decreasing"
"261","cyphastrea chalcidicum","Decreasing"
"262","porites latistella","Unknown"
"263","barabattoia amicorum","Decreasing"
"264","porites arnaudi","Unknown"
"265","pocillopora woodjonesi","Unknown"
"266","montipora caliculata","Decreasing"
"267","fungia sinensis","Unknown"
"268","acropora hyacinthus","Decreasing"
"269","acropora vaughani","Decreasing"
"270","fungia paumotensis","Unknown"
"271","acropora sarmentosa","Decreasing"
"272","pocillopora eydouxi","Unknown"
"273","pavona clavus","Unknown"
"274","porites lobata","Unknown"
"275","echinophyllia echinata","Unknown"
"276","favia matthaii","Decreasing"
"277","seriatopora hystrix","Unknown"
"278","acropora granulosa","Decreasing"
"279","fungia repanda","Unknown"
"280","acropora formosa","Decreasing"
"281","leptoseris solida","Unknown"
"282","cyphastrea microphthalma","Decreasing"
"283","ctenactis echinata","Unknown"
"284","fungia horrida","Unknown"
"285","millepora platyphylla","Unknown"
"286","lobophyllia hemprichii","Unknown"
"287","fungia fungites","Unknown"
"288","porites lichen","Unknown"
"289","pavona duerdeni","Unknown"
"290","acropora horrida","Decreasing"
"291","montipora verrucosa","Decreasing"
"292","favia speciosa","Decreasing"
"293","scolymia vitiensis","Unknown"
"294","porites murrayensis","Unknown"
"295","acropora nobilis","Decreasing"
"296","goniopora stutchburyi","Unknown"
"297","porites solida","Unknown"
"298","acropora paniculata","Decreasing"
"299","leptoseris incrustans","Unknown"
"300","acropora longicyathus","Decreasing"
"301","ctenactis crassa","Unknown"
"302","fungia scruposa","Unknown"
"303","montipora foveolata","Decreasing"
"304","coscinaraea exesa","Stable"
"305","herpolitha limax","Unknown"
"306","acropora microphthalma","Decreasing"
"307","montipora millepora","Decreasing"
"308","hydnophora microconos","Unknown"
"309","pocillopora damicornis","Unknown"
"310","platygyra daedalea","Decreasing"
"311","turbinaria mesenterina","Unknown"
"312","fungia concinna","Unknown"
"313","echinopora gemmacea","Decreasing"
"314","leptastrea bottae","Decreasing"
"315","goniastrea aspera","Decreasing"
"316","platygyra sinensis","Decreasing"
"317","alveopora spongiosa","Unknown"
"318","sandalolitha dentata","Unknown"
"319","fungia distorta","Stable"
"320","coscinaraea columna","Unknown"
"321","montipora tuberculosa","Decreasing"
"322","montipora hoffmeisteri","Decreasing"
"323","acropora robusta","Decreasing"
"324","montipora hispida","Decreasing"
"325","goniastrea pectinata","Decreasing"
"326","favites flexuosa","Decreasing"
"327","leptastrea purpurea","Decreasing"
"328","fungia granulosa","Unknown"
"329","gardineroseris planulata","Unknown"
"330","acropora globiceps","Decreasing"
"331","psammocora profundacella","Unknown"
"332","montipora efflorescens","Decreasing"
"333","pocillopora elegans","Unknown"
"334","acropora secale","Decreasing"
"335","favites abdita","Decreasing"
"336","acropora carduus","Decreasing"
"337","pavona explanulata","Unknown"
"338","psammocora contigua","Unknown"
"339","fungia scabra","Unknown"
"340","porites australiensis","Unknown"
"341","alveopora verrilliana","Unknown"
"342","cyphastrea serailia","Decreasing"
"343","acropora loripes","Decreasing"
"344","psammocora digitata","Unknown"
"345","montipora foliosa","Decreasing"
"346","pavona decussata","Unknown"
"347","acropora digitifera","Decreasing"
"348","psammocora explanulata","Unknown"
"349","galaxea fascicularis","Unknown"
"350","leptoseris hawaiiensis","Unknown"
"351","lobophyllia corymbosa","Unknown"
"352","pocillopora verrucosa","Unknown"
"353","acropora pulchra","Decreasing"
"354","goniopora minor","Unknown"
"355","acanthastrea echinata","Unknown"
"356","plesiastrea versipora","Decreasing"
"357","pavona bipartita","Unknown"
"358","fungia costulata","Unknown"
"359","pocillopora capitata","Unknown"
"360","montastrea curta","Decreasing"
"361","acropora monticulosa","Decreasing"
"362","stylocoeniella guentheri","Unknown"
"363","pocillopora ligulata","Unknown"
"364","abudefduf sordidus","Stable"
"365","chromis alpha","Stable"
"366","abudefduf vaigiensis","Stable"
"367","abudefduf septemfasciatus","Stable"
"368","abudefduf sexfasciatus","Stable"
"369","epinephelus polyphekadion","Decreasing"
"370","cephalopholis leopardus","Unknown"
"371","plectropomus laevis","Unknown"
"372","epinephelus tauvina","Unknown"
"373","hyporthodus octofasciatus","Unknown"
"374","cephalopholis igarashiensis","Unknown"
"375","cephalopholis argus","Stable"
"376","cephalopholis polleni","Unknown"
"377","cephalopholis spiloparaea","Unknown"
"378","epinephelus hexagonatus","Stable"
"379","epinephelus merra","Stable"
"380","cephalopholis aurantia","Unknown"
"381","gracila albomarginata","Unknown"
"382","cephalopholis urodeta","Stable"
"383","epinephelus morrhua","Stable"
"384","epinephelus melanostigma","Unknown"
"385","epinephelus lanceolatus","Decreasing"
"386","saloptia powelli","Unknown"
"387","epinephelus fasciatus","Unknown"
"388","epinephelus socialis","Unknown"
"389","variola louti","Stable"
"390","cephalopholis sexmaculata","Unknown"
"391","epinephelus tuamotuensis","Unknown"
"392","enoplometopus holthuisi","Unknown"
"393","panulirus longipes","Unknown"
"394","enoplometopus gracilipes","Unknown"
"395","arctides regalis","Unknown"
"396","pentacheles snyderi","Unknown"
"397","parribacus antarcticus","Unknown"
"398","panulirus femoristriga","Unknown"
"399","stereomastis auriculata","Unknown"
"400","galearctus aurora","Unknown"
"401","stereomastis suhmi","Unknown"
"402","peponocephala electra","Unknown"
"403","steno bredanensis","Unknown"
"404","kogia breviceps","Unknown"
"405","stenella coeruleoalba","Unknown"
"406","balaenoptera bonaerensis","Unknown"
"407","mesoplodon ginkgodens","Unknown"
"408","ziphius cavirostris","Unknown"
"409","orcinus orca","Unknown"
"410","physeter macrocephalus","Unknown"
"411","tursiops truncatus","Unknown"
"412","balaenoptera edeni","Unknown"
"413","kogia sima","Unknown"
"414","mesoplodon densirostris","Unknown"
"415","stenella longirostris","Unknown"
"416","globicephala macrorhynchus","Unknown"
"417","megaptera novaeangliae","Increasing"
"418","balaenoptera borealis","Increasing"
"419","grampus griseus","Unknown"
"420","balaenoptera musculus","Increasing"
"421","lagenodelphis hosei","Unknown"
"422","balaenoptera acutorostrata","Unknown"
"423","pseudorca crassidens","Unknown"
"424","feresa attenuata","Unknown"
"425","stenella attenuata","Unknown"
"426","sphoeroides pachygaster","Unknown"
"427","canthigaster rivulata","Unknown"
"428","canthigaster janthinoptera","Unknown"
"429","canthigaster amboinensis","Unknown"
"430","canthigaster solandri","Unknown"
"431","lagocephalus lagocephalus","Unknown"
"432","lagocephalus sceleratus","Unknown"
"433","canthigaster valentini","Decreasing"
"434","canthigaster bennetti","Unknown"
"435","arothron hispidus","Unknown"
"436","arothron stellatus","Unknown"
"437","arothron meleagris","Stable"
"438","eretmochelys imbricata","Decreasing"
"439","caretta caretta","Decreasing"
"440","hydrophis platurus","Stable"
"441","chelonia mydas","Decreasing"
"442","holothuria leucospilota","Unknown"
"443","stichopus chloronotus","Stable"
"444","holothuria fuscogilva","Decreasing"
"445","holothuria hilla","Unknown"
"446","stichopus monotuberculatus","Unknown"
"447","holothuria pervicax","Unknown"
"448","holothuria difficilis","Unknown"
"449","stichopus horrens","Unknown"
"450","holothuria flavomaculata","Unknown"
"451","actinopyga mauritiana","Decreasing"
"452","mesothuria multipora","Unknown"
"453","thelenota anax","Unknown"
"454","holothuria turriscelsa","Unknown"
"455","holothuria pardalis","Unknown"
"456","holothuria discrepans","Unknown"
"457","holothuria whitmaei",NA
"458","holothuria olivacea","Unknown"
"459","holothuria glandifera","Unknown"
"460","holothuria impatiens","Unknown"
"461","holothuria edulis","Unknown"
"462","holothuria hawaiiensis","Stable"
"463","holothuria fuscocinerea","Unknown"
"464","bohadschia vitiensis","Decreasing"
"465","holothuria stocki","Unknown"
"466","bohadschia similis","Unknown"
"467","bohadschia argus","Stable"
"468","pearsonothuria graeffei","Unknown"
"469","holothuria atra","Stable"
"470","actinopyga miliaris","Decreasing"
"471","holothuria erinaceaus","Unknown"
"472","actinopyga varians","Unknown"
"473","holothuria verrucosa","Unknown"
"474","holothuria arenicola","Unknown"
"475","halophila decipiens","Stable"
"476","ctenochaetus binotatus","Stable"
"477","naso lituratus","Stable"
"478","acanthurus nigricauda","Stable"
"479","naso unicornis","Unknown"
"480","zebrasoma rostratum","Unknown"
"481","naso brevirostris","Stable"
"482","ctenochaetus hawaiiensis","Unknown"
"483","acanthurus triostegus","Stable"
"484","acanthurus xanthopterus","Stable"
"485","naso brachycentron","Stable"
"486","naso annulatus","Stable"
"487","acanthurus lineatus","Stable"
"488","naso vlamingii","Decreasing"
"489","acanthurus guttatus","Unknown"
"490","ctenochaetus marginatus","Unknown"
"491","acanthurus thompsoni","Stable"
"492","acanthurus nigricans","Stable"
"493","acanthurus pyroferus","Stable"
"494","acanthurus olivaceus","Stable"
"495","acanthurus leucopareius","Stable"
"496","zebrasoma veliferum","Stable"
"497","naso caesius","Stable"
"498","zebrasoma scopas","Stable"
"499","acanthurus achilles","Stable"
"500","acanthurus blochii","Stable"
"501","ctenochaetus flavicauda","Unknown"
"502","acanthurus nigrofuscus","Stable"
"503","naso hexacanthus","Stable"
"504","acanthurus mata","Stable"
"505","acanthurus nubilus","Unknown"
"506","ctenochaetus striatus","Stable"
"507","dunckerocampus dactyliophorus","Decreasing"
"508","fistularia petimba","Unknown"
"509","fistularia commersonii","Unknown"
"510","microphis brachyurus","Unknown"
"511","doryrhamphus excisus","Unknown"
"512","microphis argulus","Unknown"
"513","choeroichthys sculptus","Decreasing"
"514","corythoichthys flavofasciatus","Decreasing"
"515","corythoichthys nigripectus","Decreasing"
"516","cosmocampus howensis","Unknown"
"517","aulostomus chinensis","Unknown"
"518","micrognathus brevirostris","Decreasing"
"519","minyichthys myersi","Unknown"
"520","eurypegasus draconis","Unknown"
"521","gymnosarda unicolor","Unknown"
"522","katsuwonus pelamis","Stable"
"523","euthynnus affinis","Unknown"
"524","thunnus orientalis","Decreasing"
"525","thunnus albacares","Decreasing"
"526","makaira nigricans","Decreasing"
"527","tetrapturus angustirostris","Unknown"
"528","thunnus alalunga","Decreasing"
"529","xiphias gladius","Decreasing"
"530","kajikia audax","Decreasing"
"531","thunnus obesus","Decreasing"
"532","istiophorus platypterus","Unknown"
"533","istiompax indica","Unknown"
"534","cheilinus trilobatus","Stable"
"535","anampses melanurus","Unknown"
"536","halichoeres marginatus","Unknown"
"537","cheilinus chlorourus","Unknown"
"538","wetmorella nigropinnata","Unknown"
"539","iniistius pentadactylus","Unknown"
"540","coris gaimard","Stable"
"541","novaculichthys taeniourus","Unknown"
"542","cirrhilabrus exquisitus","Unknown"
"543","pseudocheilinus hexataenia","Unknown"
"544","thalassoma amblycephalum","Unknown"
"545","cymolutes torquatus","Unknown"
"546","thalassoma hardwicke","Unknown"
"547","pseudojuloides atavai","Unknown"
"548","pseudocoris aurantiofasciata","Unknown"
"549","halichoeres hortulanus","Unknown"
"550","oxycheilinus unifasciatus","Unknown"
"551","thalassoma lutescens","Unknown"
"552","oxycheilinus arenatus","Unknown"
"553","epibulus insidiator","Unknown"
"554","thalassoma quinquevittatum","Unknown"
"555","oxycheilinus lineatus","Unknown"
"556","pseudocheilinus tetrataenia","Unknown"
"557","labropsis polynesica","Unknown"
"558","thalassoma purpureum","Unknown"
"559","polylepion russelli","Unknown"
"560","calotomus carolinus","Unknown"
"561","cetoscarus ocellatus","Unknown"
"562","scarus globiceps","Unknown"
"563","scarus altipinnis","Unknown"
"564","chlorurus microrhinos","Unknown"
"565","scarus psittacus","Unknown"
"566","scarus niger","Unknown"
"567","scarus forsteni","Unknown"
"568","scarus pyrrostethus","Unknown"
"569","scarus oviceps","Unknown"
"570","scarus schlegeli","Unknown"
"571","pseudocheilinus ocellatus","Unknown"
"572","hemigymnus fasciatus","Unknown"
"573","cheilio inermis","Unknown"
"574","labroides dimidiatus","Unknown"
"575","stethojulis bandanensis","Unknown"
"576","halichoeres margaritaceus","Unknown"
"577","halichoeres trimaculatus","Unknown"
"578","stethojulis strigiventer","Unknown"
"579","bodianus axillaris","Unknown"
"580","oxycheilinus bimaculatus","Unknown"
"581","gomphosus varius","Unknown"
"582","wetmorella albofasciata","Unknown"
"583","halichoeres melasmapomus","Unknown"
"584","cirrhilabrus scottorum","Unknown"
"585","pseudocheilinus octotaenia","Unknown"
"586","pseudojuloides cerasinus","Unknown"
"587","cheilinus oxycephalus","Unknown"
"588","pseudocheilinus evanidus","Unknown"
"589","cymolutes praetextatus","Unknown"
"590","macropharyngodon meleagris","Unknown"
"591","hologymnosus annulatus","Unknown"
"592","halichoeres claudia","Unknown"
"593","iniistius pavo","Unknown"
"594","thalassoma trilobatum","Unknown"
"595","pseudodax moluccanus","Unknown"
"596","bodianus anthioides","Unknown"
"597","anampses caeruleopunctatus","Unknown"
"598","anampses meleagrides","Stable"
"599","labroides rubrolabiatus","Unknown"
"600","labroides bicolor","Unknown"
"601","xyrichtys halsteadi","Unknown"
"602","anampses twistii","Stable"
"603","coris aygula","Unknown"
"604","scarus tricolor","Unknown"
"605","chlorurus spilurus","Unknown"
"606","scarus rubroviolaceus","Unknown"
"607","hipposcarus longiceps","Unknown"
"608","scarus frenatus","Unknown"
"609","leptoscarus vaigiensis","Unknown"
"610","chlorurus frontalis","Stable"
"611","circus approximans","Stable"
"612","egretta sacra","Stable"
"613","fregetta grallaria","Decreasing"
"614","fregetta tropica","Decreasing"
"615","thalassarche eremita","Stable"
"616","gygis alba","Stable"
"617","oceanites oceanicus","Stable"
"618","nesofregetta fuliginosa","Decreasing"
"619","numenius tahitiensis","Decreasing"
"620","onychoprion lunatus","Decreasing"
"621","pelagodroma marina","Decreasing"
"622","anous ceruleus","Stable"
"623","pseudobulweria rostrata","Decreasing"
"624","pterodroma neglecta","Decreasing"
"625","pterodroma alba","Decreasing"
"626","pterodroma cervicalis","Increasing"
"627","pterodroma heraldica","Decreasing"
"628","puffinus bailloni","Stable"
"629","puffinus nativitatis","Stable"
"630","thalasseus bergii","Stable"
"631","tringa incana","Stable"
"632","zapornia tabuensis","Unknown"
"633","pterodroma atrata","Decreasing"
"634","hirundo tahitica","Unknown"
"635","procellaria parkinsoni","Stable"
"636","pterodroma cookii","Increasing"
"637","pterodroma inexpectata","Decreasing"
"638","pterodroma nigripennis","Decreasing"
"639","pterodroma leucoptera","Decreasing"
"640","pterodroma ultima","Unknown"
"641","sula dactylatra","Decreasing"
"642","sula leucogaster","Decreasing"
"643","sula sula","Decreasing"
"644","ardenna bulleri","Stable"
"645","pterodroma brevipes","Decreasing"
"646","phaethon rubricauda","Stable"
"647","anas superciliosa","Unknown"
"648","anous stolidus","Stable"
"649","anous minutus","Stable"
"650","arenaria interpres","Decreasing"
"651","butorides striata","Decreasing"
"652","fregata ariel","Decreasing"
"653","phaethon lepturus","Decreasing"
"654","ardenna pacifica","Decreasing"
"655","ardenna tenuirostris","Decreasing"
"656","fregata minor","Decreasing"
"657","onychoprion fuscatus","Unknown"
